year_since_draft,metric_value,metric_percentile,prob_year3_decision,prob_year4_decision,prob_year5_decision,r_channel,g_channel,b_channel,rgb_color_hex
3,3358.9584673251607,59.655831739961755,0.6840542140126447,0.6840542140126447,0.6840542140126447,174,174,174,#aeaeae
3,3467.3119662711338,61.5678776290631,0.7161472552587851,0.7161472552587851,0.7161472552587851,182,182,182,#b6b6b6
3,3575.665465217107,63.2887189292543,0.7432820391964435,0.7432820391964435,0.7432820391964435,189,189,189,#bdbdbd
3,3684.0189641630795,65.20076481835564,0.7713696485398895,0.7713696485398895,0.7713696485398895,196,196,196,#c4c4c4
3,3792.3724631090527,67.11281070745697,0.7972225587935773,0.7972225587935773,0.7972225587935773,203,203,203,#cbcbcb
3,3900.7259620550253,69.98087954110899,0.8318044887175414,0.8318044887175414,0.8318044887175414,212,212,212,#d4d4d4
3,4009.0794610009984,73.23135755258126,0.8651230190039453,0.8651230190039453,0.8651230190039453,220,220,220,#dcdcdc
3,4117.432959946971,76.8642447418738,0.8955883464475942,0.8955883464475942,0.8955883464475942,228,228,228,#e4e4e4
3,4225.786458892944,78.77629063097514,0.9090510795450434,0.9090510795450434,0.9090510795450434,231,231,231,#e7e7e7
3,4334.139957838917,82.02676864244742,0.9283849682984531,0.9283849682984531,0.9283849682984531,236,236,236,#ececec
3,4442.49345678489,85.08604206500956,0.9430466567516352,0.9430466567516352,0.9430466567516352,240,240,240,#f0f0f0
3,4550.846955730863,87.76290630975143,0.9535153115204316,0.9535153115204316,0.9535153115204316,243,243,243,#f3f3f3
3,4659.200454676836,89.67495219885276,0.9598438949102632,0.9598438949102632,0.9598438949102632,244,244,244,#f4f4f4
3,4767.553953622809,92.1606118546845,0.9668451375235346,0.9668451375235346,0.9668451375235346,246,246,246,#f6f6f6
3,4875.907452568782,94.45506692160612,0.9722507613875682,0.9722507613875682,0.9722507613875682,247,247,247,#f7f7f7
3,4984.260951514755,96.36711281070745,0.9760925906735946,0.9760925906735946,0.9760925906735946,248,248,248,#f8f8f8
