year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.717948717948718,26.62011043626799,60.0,3,5,total_yards_adj
0.717948717948718,86.97704276992013,60.0,3,5,total_yards_adj
0.717948717948718,147.33397510357227,60.0,3,5,total_yards_adj
0.717948717948718,207.69090743722444,60.0,3,5,total_yards_adj
0.717948717948718,268.0478397708766,60.0,3,5,total_yards_adj
0.717948717948718,328.4047721045287,40.0,3,5,total_yards_adj
0.717948717948718,388.76170443818086,40.0,3,5,total_yards_adj
0.717948717948718,449.118636771833,40.0,3,5,total_yards_adj
0.717948717948718,509.47556910548514,40.0,3,5,total_yards_adj
0.717948717948718,569.8325014391373,40.0,3,5,total_yards_adj
0.717948717948718,630.1894337727895,20.0,3,5,total_yards_adj
0.717948717948718,690.5463661064416,20.0,3,5,total_yards_adj
0.717948717948718,750.9032984400937,20.0,3,5,total_yards_adj
0.717948717948718,811.2602307737459,20.0,3,5,total_yards_adj
0.717948717948718,871.617163107398,20.0,3,5,total_yards_adj
0.717948717948718,931.9740954410502,20.0,3,5,total_yards_adj
0.717948717948718,992.3310277747023,20.0,3,5,total_yards_adj
0.717948717948718,1052.6879601083547,20.0,3,5,total_yards_adj
0.717948717948718,1113.0448924420068,20.0,3,5,total_yards_adj
0.717948717948718,1173.401824775659,20.0,3,5,total_yards_adj
0.717948717948718,1233.758757109311,20.0,3,5,total_yards_adj
0.717948717948718,1294.1156894429632,20.0,3,5,total_yards_adj
0.717948717948718,1354.4726217766154,20.0,3,5,total_yards_adj
0.717948717948718,1414.8295541102675,20.0,3,5,total_yards_adj
0.717948717948718,1475.1864864439196,20.0,3,5,total_yards_adj
0.717948717948718,1535.5434187775718,20.0,3,5,total_yards_adj
0.717948717948718,1595.900351111224,20.0,3,5,total_yards_adj
0.717948717948718,1656.257283444876,0.0,3,5,total_yards_adj
0.717948717948718,1716.6142157785282,0.0,3,5,total_yards_adj
0.717948717948718,1776.9711481121803,0.0,3,5,total_yards_adj
0.717948717948718,1837.3280804458325,0.0,3,5,total_yards_adj
0.717948717948718,1897.6850127794846,0.0,3,5,total_yards_adj
0.717948717948718,1958.0419451131368,0.0,3,5,total_yards_adj
0.717948717948718,2018.398877446789,0.0,3,5,total_yards_adj
0.717948717948718,2078.7558097804413,0.0,3,5,total_yards_adj
0.717948717948718,2139.112742114093,0.0,3,5,total_yards_adj
0.717948717948718,2199.4696744477455,0.0,3,5,total_yards_adj
0.717948717948718,2259.8266067813975,0.0,3,5,total_yards_adj
0.717948717948718,2320.18353911505,0.0,3,5,total_yards_adj
0.717948717948718,2380.5404714487017,0.0,3,5,total_yards_adj
0.717948717948718,2440.897403782354,20.0,3,5,total_yards_adj
0.717948717948718,2501.254336116006,20.0,3,5,total_yards_adj
0.717948717948718,2561.6112684496584,20.0,3,5,total_yards_adj
0.717948717948718,2621.9682007833103,40.0,3,5,total_yards_adj
0.717948717948718,2682.3251331169627,40.0,3,5,total_yards_adj
0.717948717948718,2742.6820654506146,40.0,3,5,total_yards_adj
0.717948717948718,2803.038997784267,40.0,3,5,total_yards_adj
0.717948717948718,2863.395930117919,40.0,3,5,total_yards_adj
0.717948717948718,2923.752862451571,60.0,3,5,total_yards_adj
0.717948717948718,2984.109794785223,40.0,3,5,total_yards_adj
0.717948717948718,3044.4667271188755,40.0,3,5,total_yards_adj
0.717948717948718,3104.8236594525274,40.0,3,5,total_yards_adj
0.717948717948718,3165.18059178618,40.0,3,5,total_yards_adj
0.717948717948718,3225.5375241198317,20.0,3,5,total_yards_adj
0.717948717948718,3285.894456453484,20.0,3,5,total_yards_adj
0.717948717948718,3346.251388787136,40.0,3,5,total_yards_adj
0.717948717948718,3406.6083211207883,40.0,3,5,total_yards_adj
0.717948717948718,3466.9652534544402,40.0,3,5,total_yards_adj
0.717948717948718,3527.3221857880926,40.0,3,5,total_yards_adj
0.717948717948718,3587.6791181217445,40.0,3,5,total_yards_adj
0.717948717948718,3648.036050455397,20.0,3,5,total_yards_adj
0.717948717948718,3708.392982789049,20.0,3,5,total_yards_adj
0.717948717948718,3768.749915122701,20.0,3,5,total_yards_adj
0.717948717948718,3829.106847456353,20.0,3,5,total_yards_adj
0.717948717948718,3889.4637797900054,40.0,3,5,total_yards_adj
0.717948717948718,3949.820712123658,20.0,3,5,total_yards_adj
0.717948717948718,4010.1776444573097,20.0,3,5,total_yards_adj
0.717948717948718,4070.534576790962,20.0,3,5,total_yards_adj
0.717948717948718,4130.8915091246145,40.0,3,5,total_yards_adj
0.717948717948718,4191.248441458266,40.0,3,5,total_yards_adj
0.717948717948718,4251.605373791918,60.0,3,5,total_yards_adj
0.717948717948718,4311.962306125571,60.0,3,5,total_yards_adj
0.717948717948718,4372.319238459223,60.0,3,5,total_yards_adj
0.717948717948718,4432.6761707928745,80.0,3,5,total_yards_adj
0.717948717948718,4493.033103126527,80.0,3,5,total_yards_adj
0.717948717948718,4553.390035460179,80.0,3,5,total_yards_adj
0.717948717948718,4613.746967793832,100.0,3,5,total_yards_adj
0.717948717948718,4674.103900127483,100.0,3,5,total_yards_adj
0.717948717948718,4734.460832461135,100.0,3,5,total_yards_adj
0.717948717948718,4794.817764794788,100.0,3,5,total_yards_adj
0.717948717948718,4855.17469712844,100.0,3,5,total_yards_adj
0.717948717948718,4915.531629462092,100.0,3,5,total_yards_adj
0.717948717948718,4975.888561795744,100.0,3,5,total_yards_adj
0.717948717948718,5036.245494129396,100.0,3,5,total_yards_adj
0.717948717948718,5096.602426463049,100.0,3,5,total_yards_adj
0.717948717948718,5156.9593587967,100.0,3,5,total_yards_adj
0.717948717948718,5217.3162911303525,100.0,3,5,total_yards_adj
0.717948717948718,5277.673223464005,100.0,3,5,total_yards_adj
0.717948717948718,5338.030155797657,100.0,3,5,total_yards_adj
0.717948717948718,5398.387088131309,100.0,3,5,total_yards_adj
0.717948717948718,5458.744020464961,100.0,3,5,total_yards_adj
0.717948717948718,5519.100952798613,100.0,3,5,total_yards_adj
0.717948717948718,5579.457885132266,100.0,3,5,total_yards_adj
0.717948717948718,5639.814817465917,100.0,3,5,total_yards_adj
0.717948717948718,5700.17174979957,100.0,3,5,total_yards_adj
0.717948717948718,5760.528682133222,100.0,3,5,total_yards_adj
0.717948717948718,5820.885614466874,100.0,3,5,total_yards_adj
0.717948717948718,5881.242546800527,100.0,3,5,total_yards_adj
0.717948717948718,5941.599479134178,100.0,3,5,total_yards_adj
0.717948717948718,6001.956411467831,100.0,3,5,total_yards_adj
0.7692307692307692,26.62011043626799,60.0,3,5,total_yards_adj
0.7692307692307692,86.97704276992013,60.0,3,5,total_yards_adj
0.7692307692307692,147.33397510357227,60.0,3,5,total_yards_adj
0.7692307692307692,207.69090743722444,60.0,3,5,total_yards_adj
0.7692307692307692,268.0478397708766,60.0,3,5,total_yards_adj
0.7692307692307692,328.4047721045287,40.0,3,5,total_yards_adj
0.7692307692307692,388.76170443818086,40.0,3,5,total_yards_adj
0.7692307692307692,449.118636771833,40.0,3,5,total_yards_adj
0.7692307692307692,509.47556910548514,40.0,3,5,total_yards_adj
0.7692307692307692,569.8325014391373,40.0,3,5,total_yards_adj
0.7692307692307692,630.1894337727895,20.0,3,5,total_yards_adj
0.7692307692307692,690.5463661064416,20.0,3,5,total_yards_adj
0.7692307692307692,750.9032984400937,20.0,3,5,total_yards_adj
0.7692307692307692,811.2602307737459,20.0,3,5,total_yards_adj
0.7692307692307692,871.617163107398,20.0,3,5,total_yards_adj
0.7692307692307692,931.9740954410502,20.0,3,5,total_yards_adj
0.7692307692307692,992.3310277747023,20.0,3,5,total_yards_adj
0.7692307692307692,1052.6879601083547,20.0,3,5,total_yards_adj
0.7692307692307692,1113.0448924420068,20.0,3,5,total_yards_adj
0.7692307692307692,1173.401824775659,20.0,3,5,total_yards_adj
0.7692307692307692,1233.758757109311,20.0,3,5,total_yards_adj
0.7692307692307692,1294.1156894429632,20.0,3,5,total_yards_adj
0.7692307692307692,1354.4726217766154,20.0,3,5,total_yards_adj
0.7692307692307692,1414.8295541102675,20.0,3,5,total_yards_adj
0.7692307692307692,1475.1864864439196,20.0,3,5,total_yards_adj
0.7692307692307692,1535.5434187775718,20.0,3,5,total_yards_adj
0.7692307692307692,1595.900351111224,20.0,3,5,total_yards_adj
0.7692307692307692,1656.257283444876,0.0,3,5,total_yards_adj
